"ID","MLBID","NAME","PITCHER_THROWS","LASTDAY","YEAR","AWAY_COMPETITION_LEVEL_ABBREV","TEAM","PITCHES"
"111844117",805817,"Garcia, Anthony",R,2022-08-23,2022,Rk-,ATL,576
"111816120",669421,"Pipkin, Dominic",R,2022-08-28,2022,A+,PHI,1151
"111836149",700686,"Rodriguez, Josue",L,2022-08-02,2022,Rk,TEX,224
"111828564",690320,"Davis, Marc",R,2022-07-12,2022,A,WAS,376
"111812094",673394,"Yanez, Gabriel",L,2022-08-24,2022,A,PHI,856
"111809201",672765,"Florez, Santiago",R,2022-08-26,2022,A+,PIT,965
"111819518",681407,"Whitney, Blake",R,2022-08-31,2022,AAA,CHC,367
"111837631",694392,"Mikulski, Matt",L,2022-08-25,2022,A,SF,1529
"111812207",676498,"Cornwell, Alex",L,2022-08-27,2022,A,STL,968
"111805684",663717,"King, Dylan",R,2022-08-28,2022,A+,ANA,734
"111818802",687161,"Hart, Zach",R,2022-08-28,2022,A+,CLE,763
"111820391",674674,"Sikkema, TJ",L,2022-07-16,2022,A+,NYY,577
"111828887",693736,"Salas, Ken",R,2022-08-22,2022,Rk-,SF,228
"111829813",695283,"Pina, Junior",R,2022-08-22,2022,Rk,BAL,678
"111841255",668826,"Candelario, A.J.",R,2022-07-28,2022,Rk,WAS,122
"111812112",669461,"Liberatore, Matthew",L,2021-10-03,2021,AAA,STL,2095
"111802281",660906,"Perez, Francisco",L,2021-06-18,2021,AA,CLE,414
"111811992",676634,"Phillips, Aaron",R,2021-08-22,2021,A+,SF,1292
"111768168",579328,"Kikuchi, Yusei",L,2021-09-23,2021,MLB,SEA,2588
"3183",545333,"Bauer, Trevor",R,2021-06-28,2021,MLB,LA,1819
"111798529",641483,"Coshow, Cale",R,2021-09-18,2021,AA,DET,850
"111815220",680692,"Stiever, Jonathan",R,2021-08-12,2021,AAA,CWS,1463
"111805450",664199,"Clarke, Taylor",R,2021-09-05,2021,MLB,ARI,811
"111808203",669467,"Pallante, Andre",R,2021-09-19,2021,AA,STL,1721
"111806301",666200,"Luzardo, Jesus",L,2021-06-19,2021,MLB,OAK,670
"111816418",678736,"Rondon, Miguel",R,2021-09-19,2021,A,SD,1019
"111807594",595988,"Holder, Heath",R,2021-09-21,2021,AAA,COL,1000
"111809265",672662,"Valdez, Joan",R,2022-08-16,2022,A,LA,772
"111819856",676254,"Walker, Ryan",R,2022-08-30,2022,AA,SF,787
"111816697",681753,"Hernandez, Adrian",R,2022-08-31,2022,AAA,TOR,434
"111815500",676621,"Capps, Holden",L,2022-06-25,2022,AA,KC,485
"111816414",677615,"Lucas, Jean Carlos",R,2022-06-21,2022,Rk,ANA,104
"111826403",694360,"Way, Beck",R,2022-07-23,2022,A+,NYY,1133
"76119350",519008,"McFarland, TJ",L,2022-08-09,2022,MLB,STL,502
"111810864",678756,"Munoz, Victor",R,2022-06-05,2022,A,TB,516
"111818228",681313,"Miller, Jake",R,2022-06-05,2022,A,CLE,524
"111498433",607374,"Tropeano, Nick",R,2022-05-25,2022,AAA,TEX,369
"111793356",605194,"Cotton, Jharel",R,2022-08-30,2022,AAA,MIN,384
"111808883",676105,"Criswell, Jeff",R,2022-06-10,2022,A+,OAK,834
"111837710",701288,"Webb, Jacob",R,2022-06-09,2022,A,BOS,499
"111809473",672582,"Zerpa, Angel",L,2021-09-19,2021,AA,KC,865
"111806433",665789,"Hernandez, Kenny",L,2021-09-15,2021,AA,ARI,901
"111831667",686993,"Sterner, Justin",R,2021-09-18,2021,AA,TB,442
"111829445",694057,"Monegro, Yordanny",R,2021-09-25,2021,Rk-,BOS,711
"111823670",686433,"Velasquez, Luis",R,2021-09-09,2021,Rk,NYY,224
"111805425",661309,"Martinez, Adrian",R,2021-10-01,2021,AAA,SD,772
"111837706",700413,"Uberstine, Tyler",R,2021-09-17,2021,Rk,BOS,108
"111828611",693761,"Santana, Angel",R,2021-09-20,2021,Rk-,NYM,384
"40244",453178,"Kennedy, Ian",R,2021-10-03,2021,MLB,PHI,447
"111806400",668968,"Crouse, Hans",R,2021-07-28,2021,AA,TEX,825
"111806480",666220,"Morban, Jose",R,2021-09-18,2021,Rk,OAK,325
"111792889",595345,"Okert, Steven",L,2021-10-03,2021,MLB,MIA,612
"111819142",683446,"Zambrano, Jhan",R,2021-09-14,2021,Rk,LA,568
"111828047",669192,"Jensen, William",R,2021-09-12,2021,A,SF,1518
"111805757",664585,"Valdez, Jefry",R,2021-09-14,2021,AA,NYY,514
"111800277",656354,"Davis, Austin",L,2021-10-02,2021,MLB,BOS,313
"111796902",656206,"Bain, Jeff",R,2021-09-03,2021,AA,ARI,900
"111796944",642629,"Ramirez, Emmanuel",R,2021-09-04,2021,A+,ATL,185
"111823140",685573,"Morelo, Fray",R,2021-09-16,2021,Rk,MIL,173
"111802262",663941,"Beck, Tristan",R,2021-09-07,2021,Rk,SF,277
"111842375",802067,"Dominguez, Eric",L,2022-08-18,2022,Rk-,ARI,571
"111815369",680739,"Winder, Josh",R,2021-06-23,2021,AA,MIN,844
"111801244",663510,"Leeper, Ben",R,2021-08-03,2021,AAA,CHC,327
"111824729",690440,"Hanner, Bradley",R,2021-09-18,2021,A,MIN,859
"111792898",621107,"Eflin, Zach",R,2021-07-16,2021,MLB,PHI,1688
"111824856",663671,"Enright, Nic",R,2021-06-22,2021,A+,CLE,303
"111820326",680758,"Byrne, Michael",R,2022-08-31,2022,AA,CIN,925
"110816930",606424,"Garcia, Jarlin",L,2022-08-29,2022,MLB,SF,815
"111825730",691921,"Quintanilla, Keneth",R,2022-08-18,2022,Rk-,PIT,484
"111837687",695049,"Kerry, Brett",R,2022-08-24,2022,AA,ANA,1507
"111808478",670280,"Bednar, David",R,2022-07-29,2022,MLB,PIT,746
"110691646",534947,"Adleman, Timothy",R,2022-08-06,2022,AAA,NYM,797
"111824568",679863,"Gross, Andrew",R,2022-08-30,2022,AA,TB,820
"111801578",643340,"Green, Nick",R,2021-10-03,2021,AAA,NYY,949
"111793272",573186,"Stroman, Marcus",R,2021-09-28,2021,MLB,NYM,2805
"111821302",668761,"Peluse, Colin",R,2021-08-29,2021,A+,OAK,1501
"111792898",621107,"Eflin, Zach",R,2022-06-25,2022,MLB,PHI,1125
"111818364",681730,"Amoroso, Luis",R,2022-08-28,2022,A,COL,1061
"111829461",687822,"Knarr, Brandon",L,2022-08-27,2022,AA,MIL,1185
"111795047",622251,"Staumont, Josh",R,2022-08-23,2022,MLB,KC,745
"111819500",682528,"Chang, Jing-Yu",L,2022-07-30,2022,Rk,SEA,316
"111825697",691334,"Arias, Harol",R,2022-08-19,2022,Rk,BAL,678
"111829194",667176,"Black, Grant",R,2022-06-25,2022,AA,STL,592
"111828539",693777,"Pineda, Yonatan",R,2022-08-23,2022,Rk,BAL,464
"111819105",680663,"Santamaria, Jose",R,2022-07-16,2022,A+,ARI,561
"111820044",690978,"Fulton, Dax",L,2022-08-20,2022,A+,MIA,1692
"110294440",592717,"Sanchez, Aaron",R,2022-05-28,2022,MLB,WAS,548
"111837513",694357,"Tiedemann, Ricky",L,2022-05-13,2022,A,TOR,421
"111811623",681571,"Sharpe, Davis",R,2022-06-05,2022,A,CLE,415
"111806749",666020,"Lin, Kai-Wei",R,2022-05-21,2022,AA,ARI,290
"111808740",664069,"Braymer, Ben",L,2022-05-25,2022,AAA,WAS,395
"111836750",701316,"Wright, Jarod",R,2022-06-03,2022,A,CHC,415
"111797231",642584,"Kilome, Franklyn",R,2021-09-30,2021,AAA,NYM,790
"111812030",673249,"Dominguez, Christofer",L,2021-09-17,2021,Rk,NYM,358
"111805117",671345,"Foley, Jason",R,2021-09-10,2021,AAA,DET,611
"111806396",669243,"Anderson, Ryan",L,2021-09-16,2021,Rk,NYY,135
"111811245",674342,"Hernandez, Jakob",L,2021-10-02,2021,AAA,PHI,675
"111819526",679326,"Cerny, Charlie",R,2021-09-19,2021,A+,OAK,631
"111815844",662107,"Glowicki, Brian",R,2021-09-11,2021,AA,CWS,132
"111796199",641312,"Anderson, Shaun",R,2021-09-25,2021,AAA,SD,275
"111814800",676265,"Abbott, Cory",R,2021-09-22,2021,AAA,CHC,1795
"111832416",696070,"Rojas, Kendry",L,2021-09-16,2021,Rk,TOR,391
"111810652",675655,"Bonnin, Bryce",R,2021-09-09,2021,A+,CIN,234
"111836864",702426,"De Los Santos, Adrian",R,2021-09-30,2021,Rk-,SD,585
"111825888",691551,"Capriata, Franniel",R,2021-10-02,2021,Rk-,LA,355
"111835352",700270,"Diaz, Yilber",R,2021-10-01,2021,Rk-,ARI,462
"111812040",673325,"Perez, Ramon",L,2021-09-18,2021,A+,SD,671
"111811567",676342,"Morales, Karlos",L,2021-09-13,2021,Rk,MIL,515
"111832437",696088,"Florentino, Dianyer",R,2021-10-01,2021,Rk-,TEX,395
"111807718",669165,"Hurt, Kyle",R,2021-09-15,2021,A,LA,289
"111835718",700348,"Omosako, Kinn",R,2021-10-01,2021,Rk-,LA,272
"111824853",663362,"Waldron, Matthew",R,2021-07-14,2021,A+,SD,1190
"111808396",675653,"Marinan, James",R,2021-09-04,2021,A,CIN,933
"111828538",693783,"Sanchez, Luis",R,2021-08-06,2021,Rk,BAL,194
"111826183",689583,"Rodriguez, Adrian",R,2021-09-13,2021,Rk,TEX,484
"111819812",682098,"Perry, Travis",R,2021-09-18,2021,A+,SF,1004
"76119321",518397,"Alexander, Scott",L,2021-07-19,2021,MLB,LA,277
"111795738",596133,"Weaver, Luke",R,2021-08-20,2021,AAA,ARI,169
"111816599",678883,"Jimenez, Yeuris",R,2021-09-14,2021,Rk,MIA,430
"111824452",691319,"Valdez, Jose",R,2021-10-02,2021,Rk-,ARI,648
"111819861",681935,"Wilson, Tommy",R,2021-08-29,2021,AA,NYM,261
"111796594",642371,"Garcia, Junior",L,2021-09-26,2021,AAA,ARI,578
"111824312",687670,"Rosario, Axel",R,2021-10-02,2021,Rk-,KC,396
"111825727",692479,"Santos, Dahian",R,2021-09-04,2021,Rk,TOR,753
"76119400",519043,"Moore, Matt",L,2021-09-16,2021,MLB,PHI,1296
"111837068",702396,"William, Junior",R,2021-09-30,2021,Rk-,TB,436
"111795915",641462,"Clouse, Corbin",L,2021-09-16,2021,AA,ATL,194
"111825815",691707,"Peguero, Jeremy",L,2021-10-02,2021,Rk-,NYM,714
"53849",502578,"Barrett, Aaron",R,2021-09-29,2021,AAA,WAS,405
"111812050",673307,"Jimenez, Diarlin",R,2021-09-17,2021,Rk,CLE,537
"111807131",670059,"Holderman, Colin",R,2021-08-29,2021,AA,NYM,309
"110847024",606625,"Moronta, Reyes",R,2022-07-29,2022,AAA,LA,176
"111839827",800067,"Fleury, Jose",R,2022-08-12,2022,Rk-,HOU,511
"111840505",805009,"Valdez, Yoan",R,2022-08-20,2022,Rk-,COL,444
"111828742",693751,"Carrion, Brian",R,2022-06-10,2022,A,CWS,105
"111826297",692392,"Martinez, Miguel",R,2022-08-23,2022,Rk-,STL,475
"111816493",680922,"DeGroat, Jack",R,2022-06-18,2022,Rk,CLE,86
"111499949",622786,"Tinoco, Jesus",R,2022-06-18,2022,MLB,TEX,95
"111798973",645261,"Alcantara, Sandy",R,2021-10-01,2021,MLB,MIA,3155
"111802232",660790,"Borges, Juan",R,2021-10-02,2021,Rk-,COL,281
"111799133",670912,"Oviedo, Johan",R,2021-10-03,2021,AAA,STL,970
"111797939",656561,"Howard, Nick",R,2021-10-02,2021,AAA,CIN,385
"111801141",656952,"Shaps, Andrew",L,2021-09-19,2021,A+,LA,342
"111824836",687437,"Mraz, Spencer",R,2021-09-11,2021,A+,TEX,199
"111819803",669302,"Gilbert, Logan",R,2021-09-29,2021,MLB,SEA,2150
"111825048",671111,"Peralta, Samuel",L,2021-09-18,2021,A+,CWS,337
"111828387",690544,"Horn, Bailey",L,2021-09-18,2021,A+,CHC,396
"111825620",692037,"Quintana, Adrian",R,2022-07-30,2022,Rk,SEA,304
"111840338",800150,"Torres, Ervin",L,2022-08-18,2022,Rk-,COL,412
"111825727",692479,"Santos, Dahian",R,2022-08-27,2022,A+,TOR,98
"111806384",685314,"Saalfrank, Andrew",L,2022-08-31,2022,AA,ARI,154
"111845165",702335,"Boswell, Matt",R,2022-08-27,2022,A,SD,147
"111811567",676342,"Morales, Karlos",L,2022-08-27,2022,A+,MIL,125
"111796450",657697,"Nittoli, Michael",R,2022-08-27,2022,AAA,TOR,174
"111799823",666721,"Castillo, Maximo",R,2022-08-28,2022,AAA,KC,250
"111844813",688214,"Jennings, Ryan",R,2022-08-31,2022,A,TOR,87
"111815504",676637,"Sanders, Phoenix",R,2022-08-20,2022,AAA,TB,460
"111815369",680739,"Winder, Josh",R,2021-07-21,2021,AAA,MIN,241
"47057",489334,"Stammen, Craig",R,2021-10-03,2021,MLB,SD,1333
"111819119",681970,"Laio, Nic",R,2021-09-10,2021,A+,TEX,561
"111766757",681834,"Driskill, Tanner",R,2021-07-28,2021,A+,WAS,277
"111793529",656919,"Ruppenthal, Matthew",R,2021-07-30,2021,A+,HOU,1051
"111803569",664991,"Wolfram, Grant",L,2021-09-16,2021,A+,TEX,1217
"111825139",687643,"Nambiar, Kumar",L,2021-08-13,2021,A,OAK,1161
"111763989",622066,"Alexander, Tyler",L,2021-09-18,2021,AAA,PHI,500
"111824698",686678,"Solesky, Chase",R,2021-07-29,2021,A,CWS,967
"111806256",656457,"Gilbert, Tyler",L,2021-07-29,2021,AAA,ARI,853
"111792453",547007,"Whalen, Robert",R,2021-08-07,2021,AAA,MIN,399
"111833720",699499,"Adams, Mike",R,2021-06-23,2021,A+,PHI,257
"111811663",681881,"Nightengale, Bryce",R,2021-06-27,2021,A+,OAK,525
"111806409",668933,"Ashcraft, Graham",R,2022-05-14,2022,AAA,CIN,551
"111798558",643316,"Fry, Paul",L,2022-05-11,2022,MLB,BAL,205
"111837518",688601,"Robinson, Kobe",R,2022-05-24,2022,A,SD,465
"111815900",676969,"De Geus, Brett",R,2022-06-03,2022,AA,ARI,404
"111794268",641464,"Cobb, Trey",R,2022-05-29,2022,AA,NYM,304
"111808012",670078,"Krauth, Ben",L,2022-06-17,2022,AAA,CLE,355
"111800581",657093,"Watkins, Spenser",R,2022-06-22,2022,AAA,BAL,114
"111840471",800453,"Leon, Edgar",R,2022-08-22,2022,Rk-,LA,482
"111819130",680652,"Rodriguez, Rainiery",R,2022-06-18,2022,Rk,ATL,101
"111836865",701625,"Perez, Anthony",R,2022-06-14,2022,Rk-,MIL,126
"111806827",666005,"Sotillet, Andres",R,2022-08-30,2022,AAA,KC,387
"111837827",695646,"Heubeck, Peter",R,2022-08-30,2022,A,LA,473
"111801734",657424,"Gage, Matthew",L,2021-05-27,2021,AA,ARI,217
"111766757",681834,"Driskill, Tanner",R,2021-08-10,2021,A,WAS,354
"111811881",682104,"Schneider, John",R,2021-05-26,2021,A+,CIN,153
"111498632",607359,"Patton, Spencer",R,2021-06-07,2021,AAA,TEX,202
"111825133",688361,"Lang, Jamarcus",Unknown,2021-05-25,2021,Rk,TEX,94
"111811905",687490,"Brabrand, Evan",R,2021-06-27,2021,A+,MIA,347
"111819016",681810,"Warren, Austin",R,2021-07-25,2021,AAA,ANA,658
"111816452",678852,"Hernandez, Joseph",Unknown,2021-07-29,2021,Rk,SEA,121
"111810679",671106,"Allen, Logan",L,2021-07-01,2021,A+,CLE,776
"111796654",641576,"Flores, Bernardo",L,2021-06-19,2021,AAA,STL,602
"111828944",684544,"Endersby, Jimmy",R,2022-08-26,2022,AAA,HOU,502
"111819039",680606,"Charle, Cristian",R,2022-08-31,2022,A+,PIT,259
"111839689",703936,"Valdez, Kevin",R,2022-07-25,2022,Rk-,CHC,91
"111818067",680936,"Maysonet, Yomil",R,2022-08-24,2022,A,CIN,197
"111808130",657272,"Uelmen, Erich",R,2022-08-31,2022,MLB,CHC,305
"111815878",647315,"Pop, Zachary",R,2022-08-20,2022,MLB,TOR,84
"111825623",691348,"Rangel, Raul",R,2022-08-20,2022,Rk,BAL,156
"111820256",682863,"Rivera, Francis",R,2022-08-30,2022,A,COL,212
"111837593",696149,"Chandler, Bubba",R,2022-08-30,2022,A,PIT,412
"111821882",681151,"Murray, Jayden",R,2022-08-31,2022,AA,HOU,281
"111827295",692638,"Corniel, Franklin",R,2021-09-28,2021,Rk-,NYY,796
"111809372",671131,"Rutledge, Jackson",R,2021-09-18,2021,A,WAS,383
"111818347",683478,"Henriquez, Nolberto",R,2021-09-28,2021,Rk-,NYY,940
"111824480",687344,"Milam, Kevin",R,2021-09-17,2021,Rk,NYY,266
"111450068",608349,"Knebel, Corey",R,2021-08-07,2021,AAA,LA,97
"111797951",656492,"Griffin, Foster",L,2021-08-12,2021,AA,KC,211
"111822785",684910,"Perez, Ivan",L,2021-07-30,2021,Rk-,MIA,113
"53472",518858,"Jones, Nate",R,2021-05-01,2021,MLB,ATL,185
"111810834",659418,"Skirrow, Noah",R,2021-09-14,2021,A+,PHI,542
"111824628",684946,"Fraze, Nick",R,2021-08-07,2021,A+,TOR,591
"111832334",696040,"Chen, Po- Yu",R,2021-09-19,2021,A,PIT,259
"111837772",695365,"Leatherman, Ian",R,2021-09-18,2021,A,TB,99
"111800991",656818,"Overton, Connor",R,2021-09-27,2021,MLB,PIT,174
"111819406",663753,"Knehr, Reiss",R,2021-09-20,2021,AAA,SD,307
"111828316",692831,"Cruz, Julio",R,2021-09-28,2021,Rk-,KC,379
"111817477",678061,"Kerr, Raymond",L,2021-10-03,2021,AAA,SEA,200
"111821527",686642,"Ellard, Fraser",L,2021-09-19,2021,A,CWS,335
"111822703",690464,"Mikel, Jordan",R,2021-09-17,2021,A+,CWS,266
"111826293",692391,"Cuello, Antoni",R,2021-10-02,2021,Rk-,STL,180
"52986",502083,"McAllister, Zach",R,2021-09-16,2021,AAA,PHI,192
"111814865",676641,"Sulser, Beau",R,2022-04-17,2022,AAA,PIT,277
"111793178",640737,"Gadea, Kevin",R,2022-06-03,2022,AA,NYM,375
"111825509",669283,"Parrish, Drew",L,2022-06-01,2022,AA,KC,874
"111792505",621381,"Strahm, Matt",L,2021-08-17,2021,MLB,SD,144
"111837503",702111,"Smith, Adam",R,2021-09-17,2021,Rk,SD,144
"111837340",687900,"Baker, Andrew",R,2021-09-07,2021,A,PHI,229
"111822703",690464,"Mikel, Jordan",R,2022-04-14,2022,A,CWS,93
"111819982",668736,"Ruff, Mike",R,2022-08-30,2022,AA,COL,434
"109502952",543921,"Wieland, Joe",R,2022-08-06,2022,AAA,TB,209
"111820558",683167,"Lewis III, Jimmy",R,2022-08-31,2022,A,LA,166
"111817207",678616,"Eldred, C.J.",R,2022-08-18,2022,Rk,KC,185
"111844323",806017,"Hernandez, Leandro",R,2022-08-18,2022,Rk-,MIA,107
"111805442",661536,"Adon, Melvin",R,2022-08-05,2022,A,SF,91
"111818919",681084,"Andrews, Tanner",R,2021-05-19,2021,AA,MIA,103
"111800984",656077,"Paulino, Felix",R,2021-06-03,2021,AAA,CWS,343
"111816546",678424,"Mendez, Josan",R,2021-08-09,2021,Rk,MIA,114
"111817807",681600,"Fenelon, Wilmer",R,2022-05-25,2022,A,DET,108
"110295669",592094,"Adam, Jason",R,2021-10-02,2021,MLB,CHC,224
"111826126",688029,"Loubier, Blake",R,2021-09-17,2021,Rk,BOS,284
"111832052",695987,"Moron, Raynel",R,2021-09-27,2021,Rk-,WAS,632
"111811757",678296,"Rodriguez, Luis",L,2021-09-17,2021,A,CHC,186
"111837556",701180,"Edwards, Christian",R,2021-09-16,2021,Rk,CWS,146
"110295564",592329,"Garcia, Jason",R,2021-09-29,2021,AAA,MIN,243
"111818450",667236,"Glogoski, Kyle",R,2021-09-11,2021,Rk,PHI,82
"111824649",688873,"Mullenbach, Matt",R,2021-09-15,2021,A,MIN,255
"111781097",592866,"Williams, Trevor",R,2021-08-05,2021,AAA,NYM,200
"111793045",623454,"Anderson, Drew",R,2021-10-03,2021,MLB,TEX,358
"111826125",688703,"Brewer, Michael",R,2021-08-10,2021,Rk,TEX,155
"111833622",699074,"Vilchez, Michael",R,2021-09-28,2021,Rk-,LA,323
"111837311",700241,"McGreevy, Michael",R,2022-05-19,2022,A+,STL,720
"111805328",670970,"Morejon, Adrian",L,2022-06-01,2022,AA,SD,87
"111837631",694392,"Mikulski, Matt",L,2021-09-16,2021,Rk,SF,91
